===== 任务四训练日志 | 时间：2026-02-24 23:43:45 =====
Warmup启用：True | Mixup启用：True
运行设备: cuda

===== 模型结构：基于任务三SimpleCNN优化 =====
模型参数量(Parameters)：981.130K | 原始数值：981130.0
模型计算量(FLOPs)：15.877M | 原始数值：15877376.0
轻量化权衡：参数量控制在1.5M以内，FLOPs控制在100M以内，同时保证准确率≥80%

===== 开始训练 | 总轮次：80 =====
Epoch 1 完成 | 训练Acc：24.33% | 验证Acc：42.16% | 学习率：0.000400

Epoch 53 完成 | 训练Acc：60.81% | 验证Acc：79.24% | 学习率：0.001000

Epoch 54 完成 | 训练Acc：59.91% | 验证Acc：80.08% | 学习率：0.001000

Epoch 55 完成 | 训练Acc：60.55% | 验证Acc：81.04% | 学习率：0.001000

Epoch 56 完成 | 训练Acc：59.92% | 验证Acc：79.68% | 学习率：0.001000

Epoch 57 完成 | 训练Acc：59.09% | 验证Acc：79.58% | 学习率：0.001000

Epoch 58 完成 | 训练Acc：59.77% | 验证Acc：80.34% | 学习率：0.001000

Epoch 59 完成 | 训练Acc：61.27% | 验证Acc：80.28% | 学习率：0.001000

Epoch 60 完成 | 训练Acc：61.57% | 验证Acc：79.44% | 学习率：0.001000

Epoch 61 完成 | 训练Acc：61.89% | 验证Acc：79.56% | 学习率：0.001000

Epoch 62 完成 | 训练Acc：60.84% | 验证Acc：81.02% | 学习率：0.001000

Epoch 63 完成 | 训练Acc：61.70% | 验证Acc：80.70% | 学习率：0.001000

Epoch 64 完成 | 训练Acc：60.96% | 验证Acc：80.04% | 学习率：0.001000

Epoch 65 完成 | 训练Acc：61.40% | 验证Acc：81.74% | 学习率：0.001000

Epoch 66 完成 | 训练Acc：62.55% | 验证Acc：81.38% | 学习率：0.001000

Epoch 67 完成 | 训练Acc：60.85% | 验证Acc：79.22% | 学习率：0.001000

Epoch 68 完成 | 训练Acc：61.75% | 验证Acc：81.10% | 学习率：0.001000

Epoch 69 完成 | 训练Acc：62.74% | 验证Acc：81.72% | 学习率：0.001000

Epoch 70 完成 | 训练Acc：60.60% | 验证Acc：80.86% | 学习率：0.001000

Epoch 71 完成 | 训练Acc：60.68% | 验证Acc：80.92% | 学习率：0.001000

Epoch 72 完成 | 训练Acc：61.62% | 验证Acc：80.20% | 学习率：0.001000

Epoch 73 完成 | 训练Acc：60.93% | 验证Acc：81.36% | 学习率：0.001000

Epoch 74 完成 | 训练Acc：62.18% | 验证Acc：80.38% | 学习率：0.001000

Epoch 75 完成 | 训练Acc：60.92% | 验证Acc：81.78% | 学习率：0.001000

Epoch 76 完成 | 训练Acc：60.25% | 验证Acc：79.94% | 学习率：0.001000

Epoch 77 完成 | 训练Acc：61.95% | 验证Acc：79.24% | 学习率：0.001000

Epoch 78 完成 | 训练Acc：62.89% | 验证Acc：81.60% | 学习率：0.001000

Epoch 79 完成 | 训练Acc：62.03% | 验证Acc：82.30% | 学习率：0.001000

Epoch 80 完成 | 训练Acc：62.13% | 验证Acc：82.08% | 学习率：0.001000


===== 测试集最终评估 =====
最终测试集准确率：84.21%
验证集最高准确率：82.30%

===== 类别级准确率 =====
plane: 91.00%
car: 93.30%
bird: 75.30%
cat: 60.20%
deer: 82.30%
dog: 81.50%
frog: 89.00%
horse: 89.20%
ship: 89.90%
truck: 90.40%

===== 已生成分类报告 =====
